"No.","HS Code","HS Description","Suppl. Unit","Special Permission","Duty Tax Rate","Excise Tax Rate","VAT Rate","Sur Tax Rate","With Hold Rate","Second Schedule 1","Second Schedule 2","Export Duty Tax Rate"
"702.0","12011000","-SEED","","","05","0","0","10","3","0","0","0"
"703.0","12019000","-OTHER","","","05","0","0","10","3","0","0","0"
"704.0","12021000","Ground-nuts in shell, not roasted or otherwise cooked","","","05","0","15","10","3","0","0","0"
"705.0","12022000","Shelled ground-nuts, not roasted or otherwise cooked","","","05","0","15","10","3","0","0","0"
"706.0","12023000","-SEED","","","05","0","15","10","3","0","0","0"
"707.0","12024100","--IN SHELL","","","05","0","15","10","3","0","0","0"
"708.0","12024200","--SHELLED, WHETHER OR NOT BROKEN","","","05","0","15","10","3","0","0","0"
"709.0","12030000","Copra","","","05","0","15","10","3","0","0","0"
"710.0","12040000","Linseed","","","05","0","15","10","3","0","0","0"
"711.0","12051000","RAPE OR COLZA SEEDS,...LOW ERUCIC ACID RAPE OR COLZA SEEDS","","","05","0","15","10","3","0","0","0"
"712.0","12059000","RAPE OR COLZA SEEDS, (EXCL LOW ERUCIC ACID RAPE OR COLZA );NES","","","05","0","15","10","3","0","0","0"
"713.0","12060000","Sunflower seeds","","","05","0","15","10","3","0","0","0"
"714.0","12071000","-Palm nuts and kernels","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"715.0","12072000","Cotton seeds","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"716.0","12072100","--SEED","","MOH&Q_STD","05","0","15","10","3","00","0","0"
"717.0","12072900","-OTHER","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"718.0","12073000","-Castor oil seeds","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"719.0","12074000","Sesamum seeds","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"720.0","12074010","---STERALIZED","","MOH&Q_STD","05","0","15","10","3","00","0","0"
"721.0","12074090","--OTHER","","MOH&Q_STD","05","0","15","10","3","00","0","0"
"722.0","12075000","-Mustard seeds","","MOH&Q_STD","05","0","15","10","3","00","0","0"
"723.0","12076000","-Safflower (CARTHAMUS TINCTORIUS) seeds","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"724.0","12077000","-MELON SEEDS","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"725.0","12079100","Poppy seeds","","MOH&Q_STD","05","0","15","10","3","00","0","0"
"726.0","12079900","Other oil seeds and oleaginous fruits, nes","","MOH&Q_STD","05","0","15","10","3","0","0","0"
"727.0","12079910","---STERALIZED NIGER SEED/NUG","","MOH&Q_STD","05","0","15","10","3","00","0","0"
"728.0","12079990","--OTHER","","MOH&Q_STD","05","0","15","10","3","00","0","0"
"729.0","12081000","Soya bean flour and meal","","","30","0","15","10","3","0","0","0"
"730.0","12089000","Other flours and meal of oil seeds or oleaginous fruit, nes","","","30","0","15","10","3","0","0","0"
"731.0","12091000","-SUGAR BEET SEEDS","","","05","0","15","10","3","00","0","0"
"732.0","12092100","--Lucerne (alfalfa) seeds","","","05","0","15","10","3","00","0","0"
"733.0","12092200","--Clover (trifolium spp.) seeds","","","05","0","15","10","3","00","0","0"
"734.0","12092300","--Fescue seeds","","","05","0","15","10","3","00","0","0"
"735.0","12092400","--Kentucky blue grass (poa pratensis L.) seeds","","","05","0","15","10","3","00","0","0"
"736.0","12092500","--Rye grass (LOLIUM MULTIFLORUM LAM.,LOLIUM PERENNE L.) seeds","","","05","0","15","10","3","00","0","0"
"737.0","12092600","Timothy grass seed, of a kind used for sowing","","","05","0","15","10","3","0","0","0"
"738.0","12092900","Other seeds of forage plants, of a kind used for sowing, nes","","","05","0","15","10","3","00","0","0"
"739.0","12093000","Seeds of herbaceous plants, of a kind used for sowing","","","05","0","15","10","3","00","0","0"
"740.0","12099100","Vegetable seed, of a kind used for sowing","","","05","0","00","10","3","00","0","0"
"741.0","12099900","Other seeds, fruit and spores, of a kind used for sowing, nes","","","05","0","15","10","3","00","0","0"
"742.0","12101000","Hop cones (excl. ground, powdered or pellets), fresh or dried","","","10","0","15","10","3","0","0","0"
"743.0","12102000","Hop cones, ground, powdered or in pellets; lupulin","","","10","0","15","10","3","0","0","0"
"744.0","12111000","Liquorice roots, of a kind used in perfumery, pharmacy...etc","","","10","0","15","10","3","0","0","0"
"745.0","12112000","Ginseng roots, of a kind used in perfumery, pharmacy...etc","","","10","0","15","10","3","00","0","0"
"746.0","12113000","COCA LEAF...A KIND USED IN PERFUMERY,PHARMACY....","","","10","0","15","10","3","0","0","0"
"747.0","12114000","POPPY STRAW ...A KIND USED IN PERFUMERY , IN PHARMACY ...","","","10","0","15","10","3","0","0","0"
"748.0","12119000","Other plants or parts, of a kind used in perfumery, pharmacy...etc, nes","","","10","0","15","10","3","00","0","0"
"749.0","12121000","Locust beans (incl. locust bean seeds), fresh, dried,chilled or frozed","","","20","0","15","10","3","0","0","0"
"750.0","12122000","SEAWEEDS AND OTHER ALGAE FOR HUMAN CONSUMPTION,FRESH,DRIED,CHILLED,FROZEN","","","20","0","15","10","3","0","0","0"
"751.0","12122100","--FIT FOR HUMAN CONSUMPTION","","","20","0","15","10","3","0","0","0"
"752.0","12122900","--OTHER","","","20","0","15","10","3","0","0","0"
"753.0","12123000","Apricot, peach or plum stones and kernels used for human consumption","","","20","0","15","10","3","0","0","0"
"754.0","12129100","Sugar beet, fresh, dried, chilled or frozen","","","05","0","15","10","3","0","0","0"
"755.0","12129200","--LOCUST BEANS (CAROB)","","","20","0","15","10","3","0","0","0"
"756.0","12129300","--SUGAR CANE","","","05","0","15","10","3","0","0","0"
"757.0","12129400","--CHICORY ROOTS","","","20","0","15","10","3","0","0","0"
"758.0","12129900","VEGETABLE PRODUCTS USED PRIMARILY FOR HUMAN CONSUMPTION,FRESH/DRIED, NES","","","20","0","15","10","3","0","0","0"
"759.0","12130000","Cereal straw and husks","","","10","0","15","10","3","0","0","0"
"760.0","12141000","Lucerne (alfalfa) meal and pellets","","","10","0","15","10","3","0","0","0"
"761.0","12149000","Other forage products, nes","","","10","0","15","10","3","0","0","0"
"762.0","13011000","Lac","","","20","0","15","10","3","0","0","0"
"763.0","13012000","Natural gum arabic","","","30","0","15","10","3","00","0","0"
"764.0","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","","","30","0","15","10","3","00","0","0"
"765.0","13021100","OPIUM","","","0","0","15","10","3","00","0","0"
"766.0","13021200","Liquorice sap and extract","","","30","0","15","10","3","0","0","0"
"767.0","13021300","Hop extract","","","30","0","15","10","3","0","0","0"
"768.0","13021400","Sap and extract of pryrethrum and roots of plants containing rotenone","","","30","0","15","10","3","0","0","0"
"769.0","13021900","Other vegetable saps and extracts, nes","","","30","0","15","10","3","0","0","0"
"770.0","13022000","Pectic substances, pectinates and pectates","","","30","0","15","10","3","0","0","0"
"771.0","13023100","Agar-agar","","","30","0","15","10","3","0","0","0"
"772.0","13023200","Mucilages and thickeners of locust beans, bean seeds and guar seeds","","","30","0","15","10","3","10","0","0"
"773.0","13023900","Mucilages and thickeners, derived from vegetable products, nes","","","30","0","15","10","3","0","0","0"
"774.0","14011000","Bamboos","","","10","0","15","10","3","0","0","0"
"775.0","14012000","Rattans","","","10","0","15","10","3","0","0","0"
"776.0","14019000","Vegetable materials for plaiting, (excl. bamboos and rattans)","","","10","0","15","10","3","0","0","0"
"777.0","14020000","VEGETABLE MATERIALS OF A KIND USED PRIMARILY AS STUFFING ...KAPOK,VEGTABLE","","","10","0","15","10","3","0","0","0"
"778.0","14030000","VEGETABLE MATERIALS PRIMARILY FOR BROOMS AND BRUSHES,NES","","","10","0","15","10","3","0","0","0"
"779.0","14041000","Raw vegetable materials primarily for dyeing or tanning","","","05","0","15","0","3","0","0","0"
"780.0","14042000","Cotton linters","","","10","0","15","10","3","0","0","0"
"781.0","14049000","Vegetable products, nes","","","10","0","15","10","3","0","0","0"
"782.0","15010000","Lard, other pig fat and poultry fat, rendered,(excl. that of 0209 or1503)","","","20","0","15","10","3","0","0","0"
"783.0","15011000","-LARD","","","20","0","15","10","3","0","0","0"
"784.0","15012000","-OTHER PIG FAT","","","20","0","15","10","3","0","0","0"
"785.0","15019000","-OTHER","","","20","0","15","10","3","0","0","0"
"786.0","15020000","FATS OF BOVINE ANIMALS, SHEEP OR GOATS, RAW/RENDERED,(EXCL. THAT OF 1503)","","","20","0","15","10","3","0","0","0"
"787.0","15021000","-TALLOW","","","20","0","15","10","3","0","0","0"
"788.0","15029000","-OTHER","","","20","0","15","10","3","0","0","0"
"789.0","15030000","Lard stearin, lardoil, oleostearin, oleo-oil and tallow oil","","","20","0","15","10","3","0","0","0"
"790.0","15041000","Fish-liver oils and their fractions","","","20","0","15","10","3","0","0","0"
"791.0","15042000","Fish fats, oils and fractions (excl. fish liver oils)","","","20","0","15","10","3","0","0","0"
"792.0","15043000","Marine mammal fats, oils and their liquid fractions","","","20","0","15","10","3","0","0","0"
"793.0","15050000","WOOL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM (INCLUDING LANOLIN)","","","20","0","15","10","3","0","0","0"
"794.0","15060000","Other animal fats and oils and their fractions","","","20","0","15","10","3","0","0","0"
"795.0","15071000","Crude soya-bean oil","LTR","","20","0","15","10","3","0","0","0"
"796.0","15079010","---EDIBLE SOYA BEAN OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"797.0","15079090","---OTHER NON-EDIBLE SOYA BEAN OIL","LTR","","20","0","15","10","3","05","00","0"
"798.0","15081000","Crude ground-nut oil","LTR","","20","0","15","10","3","0","0","0"
"799.0","15089010","---EDIBLE GROUND NUT OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"800.0","15089090","---OTHER NON-EDIBLE  GROUND NUT OIL","LTR","","20","0","15","10","3","0","0","0"
"801.0","15091010","- - - EDIBLE VIRGIN OLIVE OIL AND ITS FRACTION WHETHER REFINED OR NOT ....","LTR","MOH","30","0","15","10","3","0","0","0"
"802.0","15091090","- - - OTHER VIRGIN OLIVE OIL (EXCLUDING EDIBLE ) AND ITS FRACTION ...","LTR","","30","0","15","10","3","0","0","0"
"803.0","15099010","---EDIBLE OLIVE OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"804.0","15099090","---OTHER NON-EDIBLE OLIVE OIL","LTR","","20","0","15","10","3","0","0","0"
"805.0","15100010","--- OTHER EDIBLE OILS AND FRACTIONS  ....,NES","LTR","MOH","30","0","15","10","3","0","0","0"
"806.0","15100090","---OTHER NON-EDIBLE OILS AND THEIR FRACTIONS ...,NES","LTR","","20","0","15","10","3","0","0","0"
"807.0","15111000","Crude palm oil","LTR","","20","0","15","0","3","00","0","0"
"808.0","15119010","---EDIBLE PALM OIL","LTR","MOH","0","0","0","0","0","0","0","0"
"809.0","15119090","--- OTHER NON-EDIBLE PALM OIL","LTR","","20","0","15","0","3","10","00","0"
"810.0","15121100","Crude sunflower-seed and safflower oil","LTR","","20","0","15","10","3","0","0","0"
"811.0","15121910","--- EDIBLE SUNFLOWER & SAFFLOWER OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"812.0","15121990","--- OTHER NON-EDIBLE SUNFLOWER & SAFFLOWER OIL","LTR","","20","0","15","10","3","05","0","0"
"813.0","15122100","Crude cotton-seed oil,whether or not gossypol has been removed","LTR","","20","0","15","10","3","0","0","0"
"814.0","15122910","--- EDIBLE COTTON SEED OIL","LTR","","30","0","15","10","3","0","0","0"
"815.0","15122990","--- OTHER NON-EDIBLE COTTON SEED OIL","LTR","","20","0","15","10","3","0","0","0"
"816.0","15131100","Crude coconut (copra) oil","LTR","","20","0","15","10","3","0","0","0"
"817.0","15131910","--- EDIBLE COCONUT OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"818.0","15131990","--- OTHER NON-EDIBLE COCONUT OIL","LTR","","20","0","15","10","3","0","0","0"
"819.0","15132100","Crude palm kernel or babassu oil","LTR","","20","0","15","0","3","0","0","0"
"820.0","15132910","--- EDIBLE PALM KERNEL OR BABASSU OIL FRACTION","LTR","MOH","30","0","15","0","3","0","0","0"
"821.0","15132990","--- OTHER NON-EDIBLE PALM KERNEL OR BABASU OIL AND FRACTIONS","LTR","","20","0","15","0","3","10","0","0"
"822.0","15141100","CRUDE LOW ERUCIC ACID RAPE OR COLZA OIL AND ITS FRACTIONS","LTR","","20","0","15","10","3","0","0","0"
"823.0","15141910","---Edible Rape or colza oil","LTR","MOH","30","0","15","10","3","0","0","0"
"824.0","15141990","---Other Rape or colza oil (excluding edible)","LTR","","20","0","15","10","3","0","0","0"
"825.0","15149100","OTHER CRUDE RAPE ,COLZA OR MUSTARD OIL","LTR","","20","0","15","10","3","0","0","0"
"826.0","15149910","EDIBLE CRUDE OIL;OTHER THAN COLZA OR MUSTARD ..","LTR","MOH","30","0","15","10","3","0","0","0"
"827.0","15149990","OTHER crued oil none eadible","LTR","","20","0","15","10","3","0","0","0"
"828.0","15151100","Crude linseed oil","LTR","","20","0","15","10","3","10","0","0"
"829.0","15151910","--- EDIBLE LINSEED OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"830.0","15151990","--- OTHER NON-EDIBLE LINSEED OIL AND FRACTIONS","LTR","","20","0","15","10","3","0","0","0"
"831.0","15152100","Crude maize (corn) oil","LTR","","20","0","15","10","3","0","0","0"
"832.0","15152910","--- EDIBLE MAIZE OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"833.0","15152990","--- OTHER NON-EDIBLE MAIZE OIL","LTR","","20","0","15","10","3","0","0","0"
"834.0","15153000","Castor oil and its fractions","LTR","","20","0","15","10","3","05","00","0"
"835.0","15154000","Tung oil and its fractions","","","20","0","15","10","3","0","0","0"
"836.0","15155010","--- EDIBLE SESAME OIL","LTR","MOH","30","0","15","10","3","0","0","0"
"837.0","15155090","--- OTHER NON-EDIBLE SESAME OIL","LTR","","20","0","15","10","3","0","0","0"
"838.0","15159010","--- EDIBLE OTHER FIXED OIL VEGETABLE FATS AND FRACTIONS ,NES","","MOH","30","0","15","10","3","0","0","0"
"839.0","15159090","--- OTHER NON-EDIBLE FIXED VEGETABLE FATS AND FRACTIONS ,NES","","","20","0","15","10","3","0","0","0"
"840.0","15161010","--- EDIBLE ANIMAL FATS AND OILS","","MOH","30","0","15","10","3","0","0","0"
"841.0","15161090","--- OTHER NON-EDIBLE ANIMAL FATS AND OILS","","","20","0","15","10","3","0","0","0"
"842.0","15162010","--- EDIBLE VEGETABLE FATS AND OILS","","MOH","30","0","15","10","3","0","0","0"
"843.0","15162090","--- OTHER NON-EDIBLE VEGETABLE FATS AND OILS ... HYDROGENATED,ETC","","","20","0","15","10","3","0","0","0"
"844.0","15171000","Margarine (excl. liquid)","","MOH","30","0","15","10","3","0","0","0"
"845.0","15179000","Edible preparations of fats and oils, nes","","MOH","30","0","15","10","3","0","0","0"
"846.0","15180000","Animal or vegetable fats and oils... chemically modified, nes","","","10","0","15","0","3","00","0","0"
"847.0","15200000","Glycerol, crude, glycerol waters and glycerol lyes","","","20","0","15","10","3","0","0","0"
"848.0","15211000","Vegetable waxes (excl. triglycerides)","","MOH","30","0","15","10","3","0","0","0"
"849.0","15219010","--- SPERMACETI","","MOH","20","0","15","10","3","00","0","0"
"850.0","15219020","---Bee Wax","","","30","0","15","10","3","00","0","0"
"851.0","15219090","--- OTHER BEESWAX , INSECT WAXES","","MOH","30","0","15","10","3","0","0","0"
"852.0","15220000","Degras; residues of fatty substances or animal or vegetable waxes","","","20","0","15","0","3","0","0","0"
"853.0","16010000","Sausages and similar products; food preparations based on these products","","MOH","30","0","15","10","3","0","0","0"
"854.0","16021000","Homogenized preparations of meat, meat offalor blood","","MOH","20","0","15","10","3","0","0","0"
"855.0","16022000","Preparations of animal liver","","MOH","30","0","15","10","3","0","0","0"
"856.0","16023100","Preparations of turkey meat","","MOH","30","0","15","10","3","0","0","0"
"857.0","16023200","PREPARED/PRESERVED MEAT,OFFAL/BLOOD OF FOWLS OF SPECIES GALLUS DOMESTICUS","","MOH","30","0","15","10","3","0","0","0"
"858.0","16023900","PREPARATIONS OF POULTRY(EXC.TURKEY/OF FOWLS OF SPECIES GALLUS DOMESTICUS)","","MOH","30","0","15","10","3","0","0","0"
"859.0","16024100","Preparations of swine, hams and cuts","","MOH","30","0","15","10","3","0","0","0"
"860.0","16024200","Preparations of swine, shoulders and cuts","","MOH","30","0","15","10","3","0","0","0"
"861.0","16024900","Preparations of swine meat, including mixtures, nes","","MOH","30","0","15","10","3","0","0","0"
"862.0","16025000","Preparations of meat of bovine animals","","MOH","30","0","15","10","3","0","0","0"
"863.0","16029000","Preparations of meat (incl.preparations of blood of any animal), nes","","MOH","30","0","15","10","3","0","0","0"
"864.0","16030000","Extracts and juices of meat, fish and aquatic invertebrates","","MOH","30","0","15","10","3","0","0","0"
"865.0","16041100","Prepared or preserved salmon (excl. minced)","","MOH","30","0","15","10","3","0","0","0"
"866.0","16041200","Prepared or preserved herrings (excl. minced)","","MOH","30","0","15","10","3","0","0","0"
"867.0","16041300","PREPARED OR PRESERVED SARDINES,SARDINELLA,BRISLING OR SPRATS (EXCL.MINCED)","","MOH","30","0","15","10","3","0","0","0"
"868.0","16041400","Prepared or preserved tuna, skipjack and bonito (sarda spp.) excl.minced","","MOH","30","0","15","10","3","0","0","0"
"869.0","16041500","Prepared or preserved mackerel (excl. minced)","","MOH","30","0","15","10","3","0","0","0"
"870.0","16041600","Prepared or preserved anchovies (excl. minced)","","MOH","30","0","15","10","3","0","0","0"
"871.0","16041700","--EELS","","MOH","30","0","15","10","3","0","0","0"
"872.0","16041900","Prepared or preserved fish (excl. minced), nes","","MOH","30","0","15","10","3","0","0","0"
"873.0","16042000","Other prepared or preserved fish, including minced, nes","","MOH","30","0","15","10","3","0","0","0"
"874.0","16043000","Caviar and caviar substitutes","","MOH","30","0","15","10","3","0","0","0"
"875.0","16043100","--CAVIAR","","MOH","30","0","15","10","3","0","0","0"
"876.0","16043200","--CAVIAR SUBSTITUTES","","MOH","30","0","15","10","3","0","0","0"
"877.0","16051000","Crab, prepared or preserved","","MOH","30","0","15","10","3","0","0","0"
"878.0","16052000","Shrimps and prawns, prepared or preserved","","MOH","30","0","15","10","3","0","0","0"
"879.0","16052100","--NOT IN AIRTIGHT CONTAINER","","MOH","30","0","15","10","3","0","0","0"
"880.0","16052900","--OTHER","","MOH","30","0","15","10","3","0","0","0"
"881.0","16053000","Lobster, prepared or preserved","","MOH","30","0","15","10","3","0","0","0"
"882.0","16054000","Crustaceans, nes, prepared or preserved","","MOH","30","0","15","10","3","0","0","0"
"883.0","16055100","--OYSTERS","","MOH","30","0","15","10","3","0","0","0"
"884.0","16055200","--SCALLOPS, INCLUDING QUEEN SCALLOPS","","MOH","30","0","15","10","3","0","0","0"
"885.0","16055300","--MUSSELS","","MOH","30","0","15","10","3","0","0","0"
"886.0","16055400","--CUTTLE FISH & SQUID","","MOH","30","0","15","10","3","0","0","0"
"887.0","16055500","--OCTOPUS","","MOH","30","0","15","10","3","0","0","0"
"888.0","16055600","--CLAMS, COCKLES & ARKSHELLS","","MOH","30","0","15","10","3","0","0","0"
"889.0","16055700","--ABALONE","","MOH","30","0","15","10","3","0","0","0"
"890.0","16055800","--SNAILS, OTHER THAN SEA SNAILS","","MOH","30","0","15","10","3","0","0","0"
"891.0","16055900","--OTHER","","MOH","30","0","15","10","3","0","0","0"
"892.0","16056100","--SEA CUCUMBERS","","MOH","30","0","15","10","3","0","0","0"
"893.0","16056200","--SEA URCHINS","","MOH","30","0","15","10","3","0","0","0"
"894.0","16056300","--JELLY FISH","","MOH","30","0","15","10","3","0","0","0"
"895.0","16056900","--OTHER","","MOH","30","0","15","10","3","0","0","0"
"896.0","16059000","Molluscs and other aquatic invertebrates, prepared or preserved","","MOH","30","0","15","10","3","0","0","0"
"897.0","17011100","Raw cane sugar, in solid form","","MOH","05","33","15","10","3","00","0","0"
"898.0","17011200","--Beet sugar","","MOH","05","33","15","10","3","0","0","0"
"899.0","17011300","--CANE SUGAR SPECIFIED IN S.H NOTE 2 TO THIS CHAPTER","","MOH","05","33","15","10","3","00","0","0"
"900.0","17011400","--OTHER CANE SUGAR","","MOH","05","33","15","10","3","00","0","0"
"901.0","17019100","Cane or beet sugar, containing added flavouring or colouring","","MOH","05","33","15","10","3","0","0","0"
"902.0","17019900","Cane or beet sugar, in solid form, nes","","MOH","05","33","15","10","3","00","0","0"
"903.0","17021100","LACTOSE AND LACTOSE SYRUP CONT.BY WEIGHT>=99% LACTOSE CALC. ON DRY MATTER","","MOH","05","0","15","10","3","00","0","0"
"904.0","17021900","LACTOSE AND LACTOSE SYRUP CONT.BY WEIGHT <99% LACTOSE CALC. ON DRY MATTER","","MOH","05","0","15","10","3","00","0","0"
"905.0","17022000","Maple sugar and maple syrup","","MOH","05","0","15","10","3","0","0","0"
"906.0","17023000","Glucose and glucose syrup, containing <20% fructose","","MOH","05","0","15","10","3","0","0","0"
"907.0","17024000","Glucose and glucose syrup, containing >=20% but <50% fructose","","MOH","05","0","15","10","3","00","0","0"
"908.0","17025000","Chemically pure fructose","","MOH","05","0","15","10","3","0","0","0"
"909.0","17026000","Other fructose and fructose syrup, containing >50% fructose","","MOH","05","0","15","10","3","0","0","0"
"910.0","17029000","Artificial honey, caramel and other sugars (incl. invert sugar), nes","","MOH","05","0","15","10","3","00","0","0"
"911.0","17031000","Cane molasses resulting from the extraction or refining of sugar","","MOH","05","0","15","10","3","0","0","0"
"912.0","17039000","Molasses resulting from the extraction or refining of sugar (excl. cane)","","MOH","05","0","15","10","3","0","0","0"
"913.0","17041000","Chewing gum","UN","MOH","35","0","15","10","3","0","0","0"
"914.0","17049000","Sugar confectionery (incl. white chocolate), not containing cocoa, nes","","MOH","35","0","15","10","3","0","0","0"
"915.0","18010000","Cocoa beans, whole or broken, raw or roasted","","MOH","20","0","15","10","3","0","0","0"
"916.0","18020000","Cocoa shells, husks, skins and other cocoa waste","","MOH","20","0","15","10","3","0","0","0"
"917.0","18031000","Cocoa paste, not defatted","","MOH","30","0","15","10","3","0","0","0"
"918.0","18032000","Cocoa paste, wholly or partly defatted","","MOH","30","0","15","10","3","0","0","0"
"919.0","18040000","Cocoa butter, fat and oil","","MOH","30","0","15","10","3","0","0","0"
"920.0","18050000","Cocoa powder, not containing added sugar or other sweetening matter","","MOH","30","0","15","10","3","0","0","0"
"921.0","18061000","Cocoa powder, containing added sugar or other sweetening matter","","MOH","30","0","15","10","3","0","0","0"
"922.0","18062000","Chocolate, etc, containing cocoa, in blocks, slabs or bars >2kg","","MOH","30","0","15","10","3","0","0","0"
"923.0","18063100","Chocolate, etc, containing cocoa, in blocks, slabs or bars, filled","","MOH","30","0","15","10","3","0","0","0"
"924.0","18063200","Chocolate, etc, containing cocoa in blocks, slabs or bars, not filled","","MOH","30","0","15","10","3","0","0","0"
"925.0","18069010","--- CHOCOLATE , CONTAINING COCOA , FOR INFANT OR INVALID USE","","MOH","20","0","15","10","3","0","0","0"
"926.0","18069090","--- CHOCOLATE AND FOOD PREPARATION ,... NOT IN BLOCKS ,...,NES","","MOH","30","0","15","10","3","0","0","0"
"927.0","19011000","Preparations for infant use, for retail sale, of flour, etc","","MOH","20","0","00","10","3","0","0","0"
"928.0","19011010","---Powder Milk","","","20","0","00","10","3","0","0","0"
"929.0","19011090","---Other malt extracts","","","20","0","15","10","3","0","0","0"
"930.0","19012000","Mixes and doughs for preparation of bakers' wares of 19.05","","MOH","30","0","15","10","3","0","0","0"
"931.0","19019010","--- OTHER FOOD PREPARATION OF FLOUR , ETC ,MALT EXTRACT","","MOH","10","0","15","10","3","0","0","0"
"932.0","19019090","--- OTHER FOOD PREPARATIONS OF FLOUR ..ETC,NES,","","MOH","30","0","15","10","3","0","0","0"
"933.0","19021110","--- UNCOOKED PASTA CONTAINING EGGS NOT STUFFED  FOR INFANTS/INVALID USE","","MOH","20","0","15","10","3","0","0","0"
"934.0","19021190","--- UNCOOKED PASTA CONTAININIG EGGS ,NOT STUFFED","","MOH","35","0","15","10","3","0","0","0"
"935.0","19021910","--- UNCOOKED PASTA,NOT CONTAINIG EGGS ,NOT STUFFED FOR INFANT/INVALID USE","","MOH","20","0","15","10","3","0","0","0"
"936.0","19021990","--- UNCOOKED PASTA , NOT CONTAINING EGGS ,NOT STUFFED ,NES","","MOH","35","0","15","10","3","0","0","0"
"937.0","19022010","--- STUFFED PASTA FOR INFANT OR INVALID USE","","MOH","20","0","15","10","3","0","0","0"
"938.0","19022090","--- STUFFED PASTA (EXC. INFANT OR INVLID FOODS)","","MOH","30","0","15","10","3","0","0","0"
"939.0","19023010","--- OTHER PASTA FOR INFANT OR INVALID USE ,NES","","MOH","20","0","15","10","3","0","0","0"
"940.0","19023090","--- OTHER PASTA ,(EXC INFANT OR INVALID USE)","","MOH","30","0","15","10","3","0","0","0"
"941.0","19024000","Couscous","","MOH","30","0","15","10","3","0","0","0"
"942.0","19030000","Tapioca and substitutes prepared from starch in flakes, grains, etc","","MOH","30","0","15","10","3","0","0","0"
"943.0","19041000","Prepared foods obtained by the swelling or roasting of cereals","","MOH","30","0","15","10","3","0","0","0"
"944.0","19042000","PREPARED FOODS OBTNED FROM UNROASTED CEREAL FLAKES/MIXTURES UNROASTED/RSTD","","MOH","30","0","15","10","3","0","0","0"
"945.0","19043000","BULGUR WHEAT","","MOH","30","0","15","10","3","0","0","0"
"946.0","19049000","Prepared cereals in grain form (excl. maize)","","MOH","30","0","15","10","3","0","0","0"
"947.0","19051000","Crispbread","","MOH","30","0","00","10","3","0","0","0"
"948.0","19052000","Gingerbread and the like","","MOH","30","0","00","10","3","0","0","0"
"949.0","19053110","---INFANT OR INVALID FOODS","","MOH","20","0","15","10","3","0","0","0"
"950.0","19053190","---OTHER ;INFANT OR INVALID FOODS","","MOH","30","0","15","10","3","0","0","0"
"951.0","19053210","---INFANT OR INVALID FOODS","","MOH","20","0","15","10","3","0","0","0"
"952.0","19053220","COMMUNION WAFERS","","MOH","05","0","15","10","3","0","0","0"
"953.0","19053290","---OTHERS waflles and wafers","","MOH","30","0","15","10","3","0","0","0"
"954.0","19054000","Rusks, toasted bread and similar toasted products","","MOH","30","0","00","10","3","0","0","0"
"955.0","19059010","--- EMPTY CACHET OF A KIND SUITABLE FOR PHARMACEUTICAL USE","","MOH","05","0","15","0","3","0","0","0"
"956.0","19059020","---Fresh Injera","","","30","0","15","10","3","0","0","0"
"957.0","19059090","--- OTHER BREAD ,RICE PAPER ,CAKES ,ETC ,NES","","MOH","30","0","15","10","3","0","0","0"
"958.0","20011000","-Cucumbers and gherkins, preserved by vinegar or acetic acid","","MOH&Q_STD","30","0","15","10","3","0","0","0"
"959.0","20019000","-Other vegetables, fruits, etc, preserved by vinegar or acetic acid, nes","","MOH&Q_STD","30","0","15","10","3","0","0","0"
"960.0","20021000","-Tomatoes, whole or in pieces, preserved other than by vinegar, etc","","MOH&Q_STD","30","0","15","10","3","0","0","0"
"961.0","20029000","Tomatoes, preserved otherwise than by vinegar or acetic acid, nes","","MOH&Q_STD","30","0","15","10","3","0","0","0"
"962.0","20029010","---Tomato concentrate,Other","","MOH&Q_STD","20","0","15","10","3","05","0","0"
"963.0","20029090","---other","","MOH&Q_STD","30","0","15","10","3","0","0","0"
"964.0","20031000","-MUSHROOMS OF THE GENUS AGARICUS, PRESERVED BY VINEGAR OR ACETIC ACID","","MOH&Q_STD","30","0","15","10","3","0","0","0"
"965.0","20032000","Truffles, prepared or preserved otherwise than by vinegar or acetic acid","","MOH&Q_STD","30","0","15","10","3","0","0","0"
"966.0","20039000","-OTHER MUSHROOMS PREPARED OR PRESERVED OTHER THAN BY VINEGAR OR ACETIC ACID","","MOH&Q_STD","30","0","15","10","3","0","0","0"
